,#,Game,Avg. viewers,Max. viewers,Followers,Total airtime,Last seen
0,#1,Minecraft,24052,287152,2312.1 /hour,14114  88.6%,2021-05-29 22:30:00
1,#2,Phasmophobia,41404,118765,3333.8 /hour,289  1.8%,2021-02-27 04:20:00
2,#3,Just Chatting,86660,168982,5441.6 /hour,267  1.7%,2021-04-06 01:20:00
3,#4,Counter-Strike: Global Offensive,22181,43240,1735.9 /hour,237  1.5%,2020-11-11 04:50:00
4,#5,Monopoly Plus,103579,120589,4787.4 /hour,204  1.3%,2021-02-20 06:20:00
5,#6,Fall Guys: Ultimate Knockout,15023,22113,2083.1 /hour,195  1.2%,2020-08-25 16:30:00
6,#7,Jackbox Party Packs,36549,41481,2729.8 /hour,127  0.8%,2020-12-03 09:40:00
7,#8,Uno,118760,150110,3949.1 /hour,94  0.6%,2021-04-25 00:30:00
8,#9,Among Us,25514,29067,2730.4 /hour,85  0.5%,2020-09-15 23:50:00
9,#10,Gang Beasts,90627,108866,9582.5 /hour,65  0.4%,2021-02-06 05:00:00
10,#11,Five Nights at Freddy's,154630,185312,7165.2 /hour,62  0.4%,2021-03-29 23:40:00
11,#12,Variety,5,5,0 /hour,61  0.4%,2019-06-23 19:00:00
12,#13,Chess,129412,147063,8200.4 /hour,55  0.3%,2021-04-06 02:20:00
13,#14,Chess (4),55990,58363,7142.7 /hour,45  0.3%,2020-12-31 21:30:00
14,#15,Minecraft Dungeons,47249,47249,0 /hour,16  0.1%,2021-03-01 04:00:00
15,#16,League of Legends,2479,2698,536 /hour,15  0.1%,2020-07-10 07:30:00
